dataset,kind,samples,features,classes,source
synthetic_covariance,synthetic_covariance,2000,12,2,generated by deca.datasets.covariance_signal
synthetic_mean,synthetic_mean,2000,12,2,generated by deca.datasets.mean_signal
iris,public_tabular,150,4,3,scikit-learn built-in: iris
wine,public_tabular,178,13,3,scikit-learn built-in: wine
breast_cancer,public_tabular,569,30,2,scikit-learn built-in: breast_cancer
digits,public_image,1797,64,10,scikit-learn built-in: digits
banknote,public_tabular,1372,4,2,https://archive.ics.uci.edu/static/public/267/banknote+authentication.zip
spambase,public_tabular,4601,57,2,https://archive.ics.uci.edu/static/public/94/spambase.zip
dry_bean,public_tabular,13611,16,7,https://archive.ics.uci.edu/static/public/602/dry+bean+dataset.zip
letter,public_tabular,20000,16,26,https://archive.ics.uci.edu/static/public/59/letter+recognition.zip
