dataset,method,train_samples,model_storage_bytes
synthetic_covariance,Logistic,1600,1464
synthetic_covariance,SVM-RBF,1600,99368
synthetic_covariance,PVM-DECA-amplitude,1600,9109
synthetic_covariance,Spectral-DECA-affine,1600,15815
synthetic_covariance,PGM-affine,1600,7283
synthetic_mean,Logistic,1600,1464
synthetic_mean,SVM-RBF,1600,95540
synthetic_mean,PVM-DECA-amplitude,1600,9109
synthetic_mean,Spectral-DECA-affine,1600,15815
synthetic_mean,PGM-affine,1600,7283
iris,Logistic,120,1337
iris,SVM-RBF,120,3305
iris,PVM-DECA-amplitude,120,3473
iris,Spectral-DECA-affine,120,5303
iris,PGM-affine,120,2926
wine,Logistic,142,1772
wine,SVM-RBF,142,8801
wine,PVM-DECA-amplitude,142,13494
wine,Spectral-DECA-affine,142,24747
wine,PGM-affine,142,11350
breast_cancer,Logistic,455,2040
breast_cancer,SVM-RBF,455,22771
breast_cancer,PVM-DECA-amplitude,455,46117
breast_cancer,Spectral-DECA-affine,455,79904
breast_cancer,PGM-affine,455,33059
digits,Logistic,1437,7916
digits,SVM-RBF,1437,424494
digits,PVM-DECA-amplitude,1437,725531
digits,Spectral-DECA-affine,1437,1424632
digits,PGM-affine,1437,679558
banknote,Logistic,1097,1208
banknote,SVM-RBF,1097,3323
banknote,PVM-DECA-amplitude,1097,2645
banknote,Spectral-DECA-affine,1097,3975
banknote,PGM-affine,1097,2483
spambase,Logistic,3680,2904
spambase,SVM-RBF,3680,411776
spambase,PVM-DECA-amplitude,3680,159958
spambase,Spectral-DECA-affine,3680,273233
spambase,PGM-affine,3680,110612
dry_bean,Logistic,10888,2539
dry_bean,SVM-RBF,10888,349509
dry_bean,PVM-DECA-amplitude,10888,35801
dry_bean,Spectral-DECA-affine,10888,72628
dry_bean,PGM-affine,10888,34633
letter,Logistic,16000,5164
letter,SVM-RBF,16000,2162505
letter,PVM-DECA-amplitude,16000,114420
letter,Spectral-DECA-affine,16000,249657
letter,PGM-affine,16000,123204
