dataset,method,accuracy,fit_seconds,predict_microseconds,jacobi_sweeps,jacobi_objective_gain,offdiagonal_residual
banknote,Hist-gradient-boosting,0.9905308560053087,1.9233661489561202,3.277200714338326,,,
banknote,LDA-shrinkage,0.9766794956867949,0.0021490415092557,0.7245937741145878,,,
banknote,Logistic,0.9817823490378235,0.00189463695278385,0.8403528905050321,,,
banknote,PGM-affine,0.9562760451227603,0.00116839201655235,0.9931624785446338,,,
banknote,PVM-DECA-amplitude,0.7081114797611148,0.00189313647570085,1.3932382518594915,,,
banknote,QDA,0.9810537491705376,0.0008530715131200501,0.8820202292759508,,,
banknote,Random-forest,0.9927126741871268,0.3370201569632627,152.62342911886017,,,
banknote,SVM-RBF,1.0,0.00237906799884505,1.6438542358767596,,,
banknote,SVM-polynomial-2,1.0,0.0032178359688259,1.594315480141744,,,
banknote,Spectral-DECA-affine,0.8659150630391507,0.0012625044910236998,0.8829396870667047,,,
banknote,Spectral-DECA-amplitude,0.68292899800929,0.00178722903365265,1.0782826851618332,,,
breast_cancer,Hist-gradient-boosting,0.9525617140195621,0.354454354965128,7.520254145850215,,,
breast_cancer,LDA-shrinkage,0.9560937742586555,0.0027260460192337,2.221097197152872,,,
breast_cancer,Logistic,0.9771852196863842,0.0024241374921984502,2.2720216708094405,,,
breast_cancer,PGM-affine,0.9499223723024375,0.004677685501519551,8.820679157220741,,,
breast_cancer,PVM-DECA-amplitude,0.6748641515292657,0.0062538289930671,10.205565526950778,,,
breast_cancer,QDA,0.964873466852973,0.0013556205085477999,2.7021778619257817,,,
breast_cancer,Random-forest,0.9542928116752056,0.2838337005232461,313.8913292021148,,,
breast_cancer,SVM-RBF,0.9666511411271541,0.0026207199553027498,5.576087635729397,,,
breast_cancer,SVM-polynomial-2,0.9727992547741033,0.0019408464431762001,3.486675479745892,,,
breast_cancer,Spectral-DECA-affine,0.882293122185996,0.00508371251635245,9.70722319100771,,,
breast_cancer,Spectral-DECA-amplitude,0.6335662164260208,0.00491931801661845,9.124512935318705,,,
digits,Hist-gradient-boosting,0.9680044877746827,12.809423508006148,39.67826597390253,,,
digits,LDA-shrinkage,0.9552019498607243,0.0075497310026548005,0.8484162002000859,,,
digits,Logistic,0.9705075827917053,0.01241816201945765,1.1540542701700272,,,
digits,PGM-affine,0.9410205818632003,0.14995716349221766,80.38446982470447,,,
