trial,dimension,samples,accumulator_error,density_error,mass_error
0,11,18,1.6743739342798817e-15,5.199566178841221e-17,0.0
1,11,46,5.565027518775632e-15,6.711767538038663e-17,0.0
2,15,62,5.697976993327645e-15,6.29030682396804e-17,0.0
3,17,26,2.031117855272669e-15,7.65566820669343e-17,7.105427357601002e-15
4,3,26,3.98754029708303e-15,1.4158235802970077e-16,7.105427357601002e-15
5,12,17,1.405567122891122e-15,8.615158060638783e-17,3.552713678800501e-15
6,16,22,1.8699321337034002e-15,6.130518577803629e-17,3.552713678800501e-15
7,9,49,4.347625426160134e-15,1.0781397116431235e-16,1.4210854715202004e-14
8,12,77,7.421619826662393e-15,5.855595163528239e-17,0.0
9,9,6,6.626189546577129e-16,7.581728968427355e-17,0.0
10,8,72,7.73947690469802e-15,1.5597264775379582e-16,5.684341886080802e-14
11,16,7,4.202472794680645e-16,5.1714184823703995e-17,0.0
12,14,32,3.887638774189139e-15,1.0070796755586743e-16,1.4210854715202004e-14
13,12,57,5.8910923187781e-15,8.762047455810911e-17,1.4210854715202004e-14
14,2,49,1.0126792072454708e-14,1.5823112613210482e-16,0.0
15,10,12,1.0107976325795906e-15,5.391140111114602e-17,0.0
16,15,57,5.8269524236576026e-15,7.978214234864441e-17,1.4210854715202004e-14
17,6,53,5.595347815458741e-15,1.421468024811195e-16,1.4210854715202004e-14
18,17,31,3.089997829900756e-15,8.973608931702286e-17,1.4210854715202004e-14
19,7,56,8.154283913623589e-15,9.177705748554002e-17,0.0
20,3,67,1.5977957017470975e-14,1.8523402944781462e-16,2.842170943040401e-14
21,10,62,8.060392211118925e-15,1.1507752707509705e-16,1.4210854715202004e-14
22,13,6,4.813662290128892e-16,5.647933701752726e-17,0.0
23,7,65,6.7947610563462564e-15,1.0307130912511754e-16,1.4210854715202004e-14
24,17,37,3.213644416746335e-15,5.096521695669912e-17,7.105427357601002e-15
25,2,37,1.4862067603866e-14,3.597533769998862e-16,7.105427357601002e-15
26,4,20,2.7423295292220587e-15,1.8336035346955114e-16,7.105427357601002e-15
27,14,22,1.5963980703165518e-15,1.0475491593825705e-16,3.552713678800501e-15
28,2,22,1.7832822334594722e-15,5.572756979560851e-17,0.0
29,5,45,5.542782196051473e-15,6.646504201411613e-17,0.0
30,14,64,8.564978936033891e-15,8.31127421062371e-17,0.0
31,17,14,1.1585031861493952e-15,8.882623698085532e-17,3.552713678800501e-15
32,11,62,6.088538377111991e-15,6.732904220615415e-17,0.0
33,4,21,4.918300529807393e-16,1.0450010521276044e-16,3.552713678800501e-15
34,15,65,7.268918718917524e-15,8.83139273030934e-17,1.4210854715202004e-14
35,3,79,1.599954261046916e-14,1.3921088343012754e-16,5.684341886080802e-14
36,8,29,3.783320148584565e-15,1.0730962547230428e-16,7.105427357601002e-15
37,12,42,3.5453062767629e-15,5.650430688347039e-17,7.105427357601002e-15
38,3,65,1.2890067034820866e-14,2.4832916469802305e-16,1.4210854715202004e-14
39,3,35,2.6272671962866384e-15,2.634953026054921e-16,2.1316282072803006e-14
40,13,55,5.875602395776486e-15,1.2962626591851994e-16,1.4210854715202004e-14
41,9,27,2.3641168961393932e-15,7.819134976420867e-17,7.105427357601002e-15
42,7,5,3.472221400179444e-16,1.281466427240265e-16,8.881784197001252e-16
43,17,54,6.452546426866752e-15,1.7367682366047839e-16,4.263256414560601e-14
44,14,57,5.4093429067508325e-15,8.249833051654323e-17,1.4210854715202004e-14
45,9,24,1.7861958307732932e-15,9.552917123893715e-17,7.105427357601002e-15
46,11,27,2.3972095949638905e-15,1.1744269407792102e-16,7.105427357601002e-15
47,14,72,9.074205686578405e-15,8.493494950946296e-17,1.4210854715202004e-14
48,8,77,1.0722025921829564e-14,1.700306430327378e-16,2.842170943040401e-14
49,13,15,1.2242380008487511e-15,6.536008282932388e-17,0.0
50,3,45,8.903960971090995e-15,1.6094644373830793e-16,1.4210854715202004e-14
51,9,13,1.1885172769929842e-15,7.063075806857606e-17,0.0
52,12,28,2.0616106562032928e-15,5.448787433417264e-17,0.0
53,16,74,8.599532214084572e-15,1.1138509346266532e-16,1.4210854715202004e-14
54,9,10,6.855121490028353e-16,5.4447247067466535e-17,0.0
55,10,61,8.623456790213536e-15,1.0102902784825733e-16,1.4210854715202004e-14
56,5,42,2.7823493677931487e-15,1.4693047679060235e-16,2.1316282072803006e-14
57,8,26,1.656056835017272e-15,9.67817913945813e-17,3.552713678800501e-15
58,8,24,2.0407427353154927e-15,6.127977434072243e-17,0.0
59,16,14,1.204217998822689e-15,6.34533663335476e-17,0.0
60,14,47,3.35153962855408e-15,8.843222425953938e-17,1.4210854715202004e-14
61,5,75,1.5242840565028426e-14,1.591602880739048e-16,1.4210854715202004e-14
62,11,48,4.838982452115604e-15,1.0525545763947619e-16,1.4210854715202004e-14
63,4,66,1.3500056333561792e-14,2.862615692445129e-16,5.684341886080802e-14
64,16,70,4.838574481755629e-15,4.351974977329675e-17,0.0
65,13,23,2.9569174549948937e-15,1.378354029512991e-16,7.105427357601002e-15
66,14,13,7.073376187482345e-16,1.2116974461777466e-16,3.552713678800501e-15
67,14,70,1.0225796882544004e-14,7.988902208726256e-17,0.0
68,8,59,7.90200799069105e-15,1.6267282104600984e-16,2.842170943040401e-14
69,13,75,1.4761247359866166e-14,1.7721037108632133e-16,5.684341886080802e-14
70,7,76,1.2158086666416979e-14,3.4113128749453063e-16,9.947598300641403e-14
71,5,36,1.2106220403823256e-14,2.43573926829036e-16,0.0
72,15,18,7.270457670335353e-16,2.512230610028026e-17,0.0
73,5,74,1.199295024834462e-14,1.7083491552555958e-16,1.4210854715202004e-14
74,15,5,2.485512730338447e-16,4.204143776616123e-17,0.0
75,17,28,2.2540917680086614e-15,9.101072092291021e-17,7.105427357601002e-15
76,2,6,9.930136612989092e-16,2.482534153247273e-16,0.0
