trial,dimension,analytic_gap,sdp_gap,absolute_error,trace_distance_identity_error
0,2,0.3573751008912406,0.35737509928734124,1.6038993466693796e-09,0.0
1,6,0.5423205419583648,0.5423205358005366,6.157828136288401e-09,0.0
2,4,0.7237566588233542,0.7237566579415118,8.818423768985895e-10,2.220446049250313e-16
3,2,0.6892058383914567,0.6892058356380136,2.753443029135383e-09,1.1102230246251565e-16
4,5,0.7028205516774759,0.7028205505301844,1.1472914840382487e-09,2.220446049250313e-16
5,5,0.6177103627714786,0.617710362575371,1.961075746237384e-10,0.0
6,6,0.6257519360563384,0.6257519359435116,1.1282674794443892e-10,0.0
7,8,0.5971585103171506,0.5971585066684243,3.6487263210815968e-09,0.0
8,8,0.5785407675372132,0.5785407652033226,2.3338905252856534e-09,0.0
9,8,0.5782420411757477,0.578242040700737,4.750106974427126e-10,0.0
10,2,0.8606569624804887,0.8606569595399857,2.9405030632645435e-09,2.220446049250313e-16
11,2,0.8639947590157152,0.863994756072969,2.942746157863496e-09,0.0
12,6,0.5404848645894542,0.5404848643859781,2.0347612483817556e-10,0.0
13,2,0.686075580098458,0.6860755773500277,2.7484303721792003e-09,0.0
14,7,0.5550930726113268,0.5550930724172115,1.9411527940604856e-10,0.0
15,8,0.6604498674809307,0.6604498669368586,5.440721206895205e-10,0.0
16,7,0.4402189290615262,0.44021892549851915,3.563007056062162e-09,1.1102230246251565e-16
17,7,0.6064620263483771,0.6064620257620976,5.862794694166951e-10,0.0
18,5,0.5289968810631491,0.5289968788021405,2.2610086025665055e-09,1.1102230246251565e-16
19,4,0.6324987667116191,0.6324987648786669,1.8329522344373572e-09,0.0
20,5,0.6885878523679407,0.6885878519689277,3.9901304482725664e-10,0.0
21,8,0.689701409531198,0.6897014066764032,2.854794733941901e-09,0.0
22,3,0.6337908365652966,0.633790835398657,1.1666395627329962e-09,1.1102230246251565e-16
23,7,0.5093077041891081,0.5093076975219248,6.667183249930986e-09,0.0
