trial,dimension,operator_value,kernel_value,absolute_error
0,4,0.14826955684003024,0.14826955684002996,2.7755575615628914e-16
1,12,0.11592966720999466,0.1159296672099947,4.163336342344337e-17
2,4,0.05077884403575426,0.05077884403575428,2.0816681711721685e-17
3,3,0.07117852603506138,0.07117852603506136,1.3877787807814457e-17
4,12,0.14013343087936683,0.1401334308793668,2.7755575615628914e-17
5,6,0.10043848795008903,0.10043848795008908,5.551115123125783e-17
6,10,0.08944311656630706,0.08944311656630705,1.3877787807814457e-17
7,12,0.07172662605842721,0.0717266260584272,1.3877787807814457e-17
8,9,0.08031251664940117,0.0803125166494012,2.7755575615628914e-17
9,4,0.11704695553679459,0.11704695553679456,2.7755575615628914e-17
10,7,0.06926120231386405,0.06926120231386407,1.3877787807814457e-17
11,4,0.06234898462373325,0.06234898462373317,7.632783294297951e-17
12,13,0.08888575003526489,0.08888575003526492,2.7755575615628914e-17
13,13,0.13248044649930754,0.13248044649930757,2.7755575615628914e-17
14,2,0.013518662897578755,0.013518662897578748,6.938893903907228e-18
15,4,0.07950678240448233,0.07950678240448239,5.551115123125783e-17
16,2,0.07728725623045114,0.07728725623045096,1.8041124150158794e-16
17,9,0.08902520894055638,0.08902520894055646,8.326672684688674e-17
18,8,0.04488340798408655,0.044883407984086576,2.7755575615628914e-17
19,3,0.22215465135536644,0.22215465135536638,5.551115123125783e-17
20,5,0.12664133222433302,0.126641332224333,2.7755575615628914e-17
21,11,0.11082753000745771,0.11082753000745774,2.7755575615628914e-17
22,4,0.12673567567863764,0.1267356756786377,5.551115123125783e-17
23,8,0.03587648888320552,0.03587648888320549,2.7755575615628914e-17
24,11,0.10887598779323222,0.10887598779323227,4.163336342344337e-17
25,6,0.12812999968973754,0.12812999968973754,0.0
26,5,0.11888377138306687,0.11888377138306683,4.163336342344337e-17
27,6,0.15353495565024422,0.15353495565024433,1.1102230246251565e-16
28,7,0.056939113609641066,0.056939113609641046,2.0816681711721685e-17
29,5,0.07867551883749391,0.07867551883749396,5.551115123125783e-17
30,8,0.08630241468851585,0.08630241468851574,1.1102230246251565e-16
31,12,0.07595894858574766,0.07595894858574762,4.163336342344337e-17
32,11,0.056893357392903646,0.05689335739290369,4.163336342344337e-17
33,13,0.1105354580272208,0.11053545802722073,6.938893903907228e-17
34,4,0.07535990937126509,0.07535990937126497,1.249000902703301e-16
35,7,0.15159171617537665,0.1515917161753766,5.551115123125783e-17
36,11,0.06386504066977201,0.06386504066977203,1.3877787807814457e-17
37,5,0.11798295285900978,0.11798295285900984,5.551115123125783e-17
38,8,0.08888502973104837,0.08888502973104837,0.0
39,10,0.08113234371334178,0.08113234371334174,4.163336342344337e-17
