repetition,damage_fraction,trace_distance,effect_rank,damage_mode_overlap
0,0.1,0.015587093563505992,5,0.9685073364319621
0,0.2,0.019244834356663354,6,0.9742652306195754
0,0.35,0.03158140590366068,3,0.9946930896274847
0,0.5,0.04684738150878831,1,0.9983937830963303
0,0.7,0.09640868374275825,1,0.9994497114156538
1,0.1,0.016222707495106646,6,0.9318993083718224
1,0.2,0.01805150536706066,5,0.9898927997264189
1,0.35,0.028966822324584727,3,0.9903666077675067
1,0.5,0.049599402297777664,1,0.9973946822134412
1,0.7,0.08935823283712782,1,0.9995059775392893
2,0.1,0.015492329154695565,6,0.886334287831288
2,0.2,0.018674249228460994,4,0.9847669111944145
2,0.35,0.030418358140144923,3,0.9922746507302608
2,0.5,0.052155519941992676,1,0.9976277279374823
2,0.7,0.09092297071700167,1,0.9995619818120383
3,0.1,0.01589273069693601,6,0.79914090340441
3,0.2,0.02074152346654595,5,0.9636713626689578
3,0.35,0.029359364992283407,2,0.9958450662509314
3,0.5,0.04727890493390226,1,0.9972674284701979
3,0.7,0.09160375672968167,1,0.9995040446193069
4,0.1,0.014846049758676831,6,0.9336925956734871
4,0.2,0.01961695926463581,4,0.9869285914028423
4,0.35,0.0302377327032197,1,0.9941574239190258
4,0.5,0.04880251239035465,1,0.9987695652885964
4,0.7,0.09197776955571442,1,0.9995581890778104
5,0.1,0.013942246958971435,6,0.5933978305380235
5,0.2,0.01989740676543159,5,0.9849514430976156
5,0.35,0.029905327124292586,2,0.9932745310138609
5,0.5,0.048020943872205145,1,0.9987031451477748
5,0.7,0.09182919289042067,1,0.998591729022759
6,0.1,0.014684279659729958,6,0.8769755782149222
6,0.2,0.020145651082503904,5,0.9932378677432431
6,0.35,0.03209174201937472,2,0.9950330010468605
6,0.5,0.048889991236319624,1,0.9981228239031193
6,0.7,0.09317650161089808,1,0.9996091719210255
7,0.1,0.015731482693510754,6,0.9110358730613739
7,0.2,0.019497727296048515,4,0.976783416774288
7,0.35,0.03167270626382733,3,0.9919793360490776
7,0.5,0.04789277457768193,2,0.9990084884858745
7,0.7,0.09130465975633509,1,0.9992836172244093
