repetition,window_length,method,accuracy,roc_auc
0,1,Rank-1 AOC contact witness,0.708,0.7424320000000001
0,1,Oracle contact screw,0.716,0.755952
0,1,Window-mean logistic,0.5,0.5
0,4,Rank-1 AOC contact witness,0.818,0.9169440000000001
0,4,Oracle contact screw,0.886,0.945824
0,4,Window-mean logistic,0.5,0.5
0,16,Rank-1 AOC contact witness,0.976,0.9968319999999999
0,16,Oracle contact screw,0.99,0.999216
0,16,Window-mean logistic,0.5,0.5
0,64,Rank-1 AOC contact witness,1.0,1.0
0,64,Oracle contact screw,1.0,1.0
0,64,Window-mean logistic,0.5,0.5
1,1,Rank-1 AOC contact witness,0.686,0.745104
1,1,Oracle contact screw,0.718,0.7687200000000001
1,1,Window-mean logistic,0.5,0.5
1,4,Rank-1 AOC contact witness,0.864,0.9322560000000001
1,4,Oracle contact screw,0.928,0.968368
1,4,Window-mean logistic,0.5,0.5
1,16,Rank-1 AOC contact witness,0.968,0.994736
1,16,Oracle contact screw,0.994,0.9999359999999999
1,16,Window-mean logistic,0.5,0.5
1,64,Rank-1 AOC contact witness,1.0,1.0
1,64,Oracle contact screw,1.0,1.0
1,64,Window-mean logistic,0.5,0.5
2,1,Rank-1 AOC contact witness,0.726,0.7685919999999999
2,1,Oracle contact screw,0.73,0.7778240000000002
2,1,Window-mean logistic,0.5,0.5
2,4,Rank-1 AOC contact witness,0.844,0.9253439999999999
2,4,Oracle contact screw,0.912,0.959776
2,4,Window-mean logistic,0.5,0.5
2,16,Rank-1 AOC contact witness,0.972,0.993936
2,16,Oracle contact screw,0.984,0.9986079999999999
2,16,Window-mean logistic,0.5,0.5
2,64,Rank-1 AOC contact witness,1.0,1.0
2,64,Oracle contact screw,1.0,1.0
2,64,Window-mean logistic,0.5,0.5
3,1,Rank-1 AOC contact witness,0.66,0.727088
3,1,Oracle contact screw,0.666,0.734656
3,1,Window-mean logistic,0.5,0.5
3,4,Rank-1 AOC contact witness,0.836,0.9086879999999999
3,4,Oracle contact screw,0.908,0.959248
3,4,Window-mean logistic,0.5,0.5
3,16,Rank-1 AOC contact witness,0.966,0.9976480000000001
3,16,Oracle contact screw,0.996,0.999952
3,16,Window-mean logistic,0.5,0.5
3,64,Rank-1 AOC contact witness,0.998,1.0
3,64,Oracle contact screw,1.0,1.0
3,64,Window-mean logistic,0.5,0.5
4,1,Rank-1 AOC contact witness,0.72,0.757104
4,1,Oracle contact screw,0.72,0.7701119999999999
4,1,Window-mean logistic,0.5,0.5
4,4,Rank-1 AOC contact witness,0.838,0.909024
4,4,Oracle contact screw,0.888,0.941072
4,4,Window-mean logistic,0.5,0.5
4,16,Rank-1 AOC contact witness,0.972,0.9967039999999999
4,16,Oracle contact screw,0.99,0.999888
4,16,Window-mean logistic,0.5,0.5
4,64,Rank-1 AOC contact witness,1.0,1.0
4,64,Oracle contact screw,1.0,1.0
4,64,Window-mean logistic,0.5,0.5
5,1,Rank-1 AOC contact witness,0.704,0.765392
5,1,Oracle contact screw,0.748,0.791664
