repetition,window_length,learned_screw_overlap,trace_distance
0,1,0.998978227494708,0.2651927619305051
0,4,0.9995973087445137,0.2609051319211367
0,16,0.9997645615816255,0.2577878978098207
0,64,0.9993561772756467,0.256211933858917
1,1,0.9996917436601085,0.25347330984319927
1,4,0.9995754255813012,0.2538222683189697
1,16,0.9990346716673089,0.2549035961588873
1,64,0.9991289013514727,0.26480226645092764
2,1,0.9991999313895024,0.2617279458647298
2,4,0.9994979334037357,0.2566156008020593
2,16,0.9984497943920908,0.26397006108396104
2,64,0.9991571591637862,0.26056333876986304
3,1,0.9993184420193817,0.2562177501847957
3,4,0.9998259615848916,0.26093421905039005
3,16,0.9984000549798174,0.2666488088304026
3,64,0.9997417049588243,0.2538977290602596
4,1,0.9990088192201321,0.2524944002266273
4,4,0.9997367727005211,0.26089601141693597
4,16,0.9995148401387364,0.2575230972717687
4,64,0.9988298244614457,0.2554636548204408
5,1,0.9994223910303658,0.25525803718169265
5,4,0.9993034552868894,0.2635906556702959
5,16,0.9994478909387179,0.2521228489031043
5,64,0.9997757432096235,0.26338386046635487
6,1,0.9993446332193262,0.2575597285889438
6,4,0.9990641653821595,0.25079342857325826
6,16,0.9992565873637939,0.25770253002300936
6,64,0.9997535638231213,0.26272945814997783
7,1,0.9993398410827946,0.2681469727462905
7,4,0.9997156964772388,0.26379351272336793
7,16,0.9987046708765326,0.26396059348838713
7,64,0.999492056224662,0.2545509182237984
8,1,0.9986877746740652,0.2597873181050975
8,4,0.9965383620192669,0.2565468929302097
8,16,0.9997196028504806,0.25358889521956557
8,64,0.9986414679717974,0.26205824219655005
9,1,0.9994562831478031,0.2585922647104938
9,4,0.9998039908205718,0.25987680918558903
9,16,0.9986040488168707,0.2662193842076075
9,64,0.9995241398689124,0.2645177969372841
10,1,0.9997414642894837,0.25791311825869173
10,4,0.9993863775396757,0.25292413751274034
10,16,0.9992186927308905,0.2536577370495685
10,64,0.9994076465996036,0.2622664815196659
11,1,0.9993053901132994,0.2561229247944929
11,4,0.9990313283485891,0.25994530847471964
11,16,0.9989793420891265,0.26506193148654383
11,64,0.999551551603465,0.26306737822972215
