repetition,train_pairs_per_class,raw_trace_distance,invariant_trace_distance,selected_fourier_bins
0,1,0.9988307941427774,0.6947396150048798,"[17, 111]"
0,2,0.9923230571463397,0.6463387139215941,"[17, 111]"
0,4,0.9922584495456912,0.5863055843885517,"[17, 111]"
0,8,0.9845682235879382,0.5331827813677971,"[17, 111]"
0,16,0.9578965482416669,0.4954325990947087,"[17, 111]"
1,1,0.9997639247039326,0.7141205804070975,"[17, 111]"
1,2,0.9954387187335004,0.6249845330839015,"[17, 111]"
1,4,0.9928932067263929,0.5540092782941911,"[17, 111]"
1,8,0.9795405826089192,0.5369634783083371,"[17, 111]"
1,16,0.9559702631075058,0.5039201555844173,"[17, 111]"
2,1,0.9985607214678647,0.7154167523595503,"[17, 111]"
2,2,0.9991137237981118,0.6411302982891094,"[17, 111]"
2,4,0.9943504331522333,0.6032948121179109,"[17, 111]"
2,8,0.972126844914305,0.5247476379572338,"[17, 111]"
2,16,0.9546070358513558,0.5167661995333583,"[17, 111]"
3,1,0.9979622552678646,0.7171727635992214,"[17, 111]"
3,2,0.9904460357949558,0.5712219533100431,"[17, 111]"
3,4,0.9921019657360515,0.5828713575768695,"[17, 111]"
3,8,0.9778553784158315,0.5254052516017294,"[17, 111]"
3,16,0.9573832906513629,0.49571594960173165,"[17, 111]"
4,1,0.997562182476911,0.7020117585579564,"[17, 111]"
4,2,0.9977881102478987,0.6306428236551578,"[17, 111]"
4,4,0.9846670153450708,0.5828775564356266,"[17, 111]"
4,8,0.9802470549625477,0.5197275921212201,"[17, 111]"
4,16,0.9578337799063135,0.49796072397035995,"[17, 111]"
5,1,0.9971013405240243,0.714575605345758,"[17, 111]"
5,2,0.9917913743593344,0.6398072800174546,"[17, 111]"
5,4,0.9798384086969996,0.6097792228448116,"[17, 111]"
5,8,0.9755595724015872,0.5445083994655953,"[17, 111]"
5,16,0.9595663573639729,0.5253652443894044,"[17, 111]"
6,1,0.9957444941481235,0.6861600477807299,"[17, 111]"
6,2,0.9941849763562985,0.6418749985556037,"[17, 111]"
6,4,0.9858739476311029,0.5861872628376419,"[17, 111]"
6,8,0.9753311359654828,0.5261483646491087,"[17, 111]"
6,16,0.9539769302720146,0.5315434201753779,"[17, 111]"
7,1,0.9974754433803076,0.7479497615329839,"[17, 111]"
7,2,0.994920351229755,0.620246469973134,"[17, 111]"
7,4,0.9884328596876144,0.5866428848493985,"[17, 111]"
7,8,0.9755838393393272,0.5440473582237102,"[17, 111]"
7,16,0.9591711332134434,0.4995279251609095,"[17, 111]"
8,1,0.9970496121107688,0.6415293031401064,"[17, 111]"
8,2,0.997125239706703,0.6291855529074741,"[17, 111]"
8,4,0.9933232570997748,0.54804945553603,"[17, 111]"
8,8,0.9712964380999198,0.5411833841601298,"[17, 111]"
8,16,0.9531047443045773,0.5079251743776879,"[17, 111]"
9,1,0.9997331518630188,0.7003242704151191,"[17, 111]"
9,2,0.9918925294696164,0.6213557272916783,"[17, 111]"
9,4,0.9902668994828436,0.5823245875069859,"[17, 111]"
9,8,0.9794378207011517,0.5370621126034141,"[17, 111]"
9,16,0.9527275832991134,0.5109122007077394,"[17, 111]"
10,1,0.9917382188019338,0.6693968592468817,"[17, 111]"
10,2,0.9969192973324695,0.6849340771983059,"[17, 111]"
10,4,0.9850852924074155,0.576234743017624,"[17, 111]"
10,8,0.9827952674261141,0.5545575402151204,"[17, 111]"
10,16,0.9557436206765475,0.5042868955561302,"[17, 111]"
11,1,0.9999964014595007,0.6803192672599063,"[17, 111]"
11,2,0.9819102436841722,0.6642968939942009,"[17, 111]"
11,4,0.9843327007749205,0.5883242734970172,"[17, 111]"
11,8,0.9777917055170411,0.5422643918890394,"[17, 111]"
11,16,0.9625955666612922,0.5403463446911014,"[17, 111]"
