logical_sector_flip_probability,numerical_trace_distance,analytic_trace_distance,numerical_optimal_success,analytic_optimal_success
0.0,1.0,1.0,1.0,1.0
0.05,0.8999999999999999,0.9,0.95,0.95
0.1,0.8,0.8,0.9,0.9
0.15000000000000002,0.7,0.7,0.85,0.85
0.2,0.6000000000000001,0.6,0.8,0.8
0.25,0.5,0.5,0.75,0.75
0.30000000000000004,0.3999999999999999,0.3999999999999999,0.7,0.7
0.35000000000000003,0.2999999999999999,0.29999999999999993,0.6499999999999999,0.6499999999999999
0.4,0.19999999999999996,0.19999999999999996,0.6,0.6
0.45,0.10000000000000003,0.09999999999999998,0.55,0.55
0.5,0.0,0.0,0.5,0.5
