independent_edge_readout_flip_probability,single_length3_loop_success,three_homologous_loops_majority_success
0.0,1.0,1.0
0.01,0.970596,0.9974570594674625
0.02,0.9423679999999999,0.9904185010438795
0.03,0.915292,0.9796892994428459
0.04,0.889344,0.9659756591783608
0.05,0.8645,0.9498948777500003
0.06,0.8407359999999999,0.9319844045427832
0.07,0.818028,0.9127101456720843
0.08,0.796352,0.8924740628672676
0.09,0.775684,0.8716211123975731
0.1,0.756,0.8504455680000002
0.11,0.737276,0.829196769771679
0.12,0.719488,0.8080843390383553
0.13,0.702612,0.7872828973062301
0.14,0.686624,0.7669363255464428
0.15,0.6715,0.7471615982499998
0.16,0.657216,0.7280522249258928
0.17,0.643748,0.70968132999655
0.18,0.6310720000000001,0.6921044003726295
0.19,0.619164,0.6753617283634341
0.2,0.608,0.659480576
