distance,rounds,regime,decoder,decoder_label,shots,logical_errors,logical_error_rate,confidence,ci_method,ci_low,ci_high,mean_matching_weight
3,3,reference,static_null,Static null DEM,200000,6654,0.03327,0.95,Wilson score,0.0324929397964,0.0340649891,2.89055640027
3,3,reference,ordinary_post,Ordinary post DEM,200000,6807,0.034035,0.95,Wilson score,0.033249255565,0.0348386439448,2.95846783805
3,3,reference,correlation_aware,Correlation-aware post DEM,200000,6832,0.03416,0.95,Wilson score,0.0333728468886,0.0349650478195,2.80646341226
3,3,correlated,static_null,Static null DEM,200000,9754,0.04877,0.95,Wilson score,0.0478346789578,0.0497226545239,2.80100146403
3,3,correlated,ordinary_post,Ordinary post DEM,200000,9591,0.047955,0.95,Wilson score,0.0470272136759,0.0489001511131,2.82823044695
3,3,correlated,correlation_aware,Correlation-aware post DEM,200000,9332,0.04666,0.95,Wilson score,0.0457443401969,0.047593074338,2.27257215568
5,5,reference,static_null,Static null DEM,200000,5435,0.027175,0.95,Wilson score,0.0264714478611,0.0278967151677,14.7428406745
5,5,reference,ordinary_post,Ordinary post DEM,200000,5804,0.02902,0.95,Wilson score,0.0282933209328,0.0297647712225,14.9597604743
5,5,reference,correlation_aware,Correlation-aware post DEM,200000,6464,0.03232,0.95,Wilson score,0.0315538792856,0.033104086104,13.8352180998
5,5,correlated,static_null,Static null DEM,200000,4797,0.023985,0.95,Wilson score,0.0233235368444,0.0246647487246,14.5286521416
5,5,correlated,ordinary_post,Ordinary post DEM,200000,4868,0.02434,0.95,Wilson score,0.0236737093166,0.0250245626155,14.440405088
5,5,correlated,correlation_aware,Correlation-aware post DEM,200000,4070,0.02035,0.95,Wilson score,0.0197403493051,0.0209780758982,10.8486346431
7,7,reference,static_null,Static null DEM,200000,3957,0.019785,0.95,Wilson score,0.0191838337349,0.0204046131722,41.9765999361
7,7,reference,ordinary_post,Ordinary post DEM,200000,4321,0.021605,0.95,Wilson score,0.0209769407312,0.0222514362628,42.5073486622
7,7,reference,correlation_aware,Correlation-aware post DEM,200000,4435,0.022175,0.95,Wilson score,0.0215387682524,0.0228295868457,38.9079745836
7,7,correlated,static_null,Static null DEM,200000,3306,0.01653,0.95,Wilson score,0.0159804223169,0.0170981496274,41.3291320283
7,7,correlated,ordinary_post,Ordinary post DEM,200000,3052,0.01526,0.95,Wilson score,0.0147319913808,0.0158066293491,41.0056864467
7,7,correlated,correlation_aware,Correlation-aware post DEM,200000,2240,0.0112,0.95,Wilson score,0.0107480897579,0.0116706869321,29.9734019086
