scenario,effect,split,feature_family,feature_label,windows,cycles_per_window,feature_dimension,extraction_seconds,seconds_per_1000_windows
spatial,0.45,train,dfr_count_sequence,DFR/count sequence,1600,64,64,0.00275694602169,0.00172309126356
spatial,0.45,train,detector_first_moment,Detector first moment,1600,64,25,0.00243711401708,0.00152319626068
spatial,0.45,train,translation,Translation statistic / pair lift,1600,64,3,0.0653917079326,0.0408698174579
spatial,0.45,train,symmetry_fourier,D4 Fourier / pair lift,1600,64,6,0.0974000809947,0.0608750506217
spatial,0.45,validation,dfr_count_sequence,DFR/count sequence,800,64,64,0.00115351693239,0.00144189616549
spatial,0.45,validation,detector_first_moment,Detector first moment,800,64,25,0.00166787393391,0.00208484241739
spatial,0.45,validation,translation,Translation statistic / pair lift,800,64,3,0.0329355669674,0.0411694587092
spatial,0.45,validation,symmetry_fourier,D4 Fourier / pair lift,800,64,6,0.032562092063,0.0407026150788
spatial,0.45,test,dfr_count_sequence,DFR/count sequence,2000,64,64,0.00339808897115,0.00169904448558
spatial,0.45,test,detector_first_moment,Detector first moment,2000,64,25,0.00250574306119,0.0012528715306
spatial,0.45,test,translation,Translation statistic / pair lift,2000,64,3,0.0784866070608,0.0392433035304
spatial,0.45,test,symmetry_fourier,D4 Fourier / pair lift,2000,64,6,0.109003454912,0.0545017274562
spatial,0.55,train,dfr_count_sequence,DFR/count sequence,1600,64,64,0.00374310894404,0.00233944309002
spatial,0.55,train,detector_first_moment,Detector first moment,1600,64,25,0.00342493189964,0.00214058243728
spatial,0.55,train,translation,Translation statistic / pair lift,1600,64,3,0.137351087062,0.0858444294136
spatial,0.55,train,symmetry_fourier,D4 Fourier / pair lift,1600,64,6,0.143650404061,0.0897815025382
spatial,0.55,validation,dfr_count_sequence,DFR/count sequence,800,64,64,0.00180317403283,0.00225396754104
spatial,0.55,validation,detector_first_moment,Detector first moment,800,64,25,0.00159634894226,0.00199543617782
spatial,0.55,validation,translation,Translation statistic / pair lift,800,64,3,0.0339936380042,0.0424920475052
