scenario,effect,method_id,method_label,feature_family,estimator,feature_dimension,train_windows,validation_windows,test_windows,fixed_parameters,fit_seconds,validation_score_seconds,test_score_seconds,validation_threshold,validation_roc_auc,validation_balanced_accuracy,test_roc_auc,test_balanced_accuracy,test_true_negative,test_false_positive,test_false_negative,test_true_positive,test_true_negative_rate,test_true_positive_rate
spatial,0.45,dfr_count_sequence::linear_logistic,DFR/count sequence · Linear logistic,dfr_count_sequence,linear_logistic,64,1600,800,2000,"{""C"": 1.0, ""standardized"": true}",0.00293214200065,0.000336106051691,0.00050240708515,-0.113146469936,0.5165,0.52875,0.524807,0.5205,401,599,360,640,0.401,0.64
spatial,0.45,dfr_count_sequence::rbf_svm,DFR/count sequence · RBF SVM,dfr_count_sequence,rbf_svm,64,1600,800,2000,"{""C"": 1.0, ""gamma"": ""scale"", ""standardized"": true}",0.0468805860728,0.0482284979662,0.119875504053,0.103543692918,0.51708125,0.52875,0.516108,0.5095,604,396,585,415,0.604,0.415
spatial,0.45,dfr_count_sequence::positive_part_mean_direction,DFR/count sequence · Positive-part mean direction,dfr_count_sequence,positive_part_mean_direction,64,1600,800,2000,"{""l1_normalized"": true, ""positive_support_size"": 31, ""simplex_operator_interpretation"": false}",0.000148172024637,3.83929582313e-05,5.60629414394e-05,0.0740740740741,0.4973625,0.51125,0.504163,0.506,329,671,317,683,0.329,0.683
spatial,0.45,dfr_count_sequence::regularized_hotelling,DFR/count sequence · Regularized Hotelling,dfr_count_sequence,regularized_hotelling,64,1600,800,2000,"{""absolute_floor"": 1e-08, ""l2_normalized"": true, ""realized_ridge"": 0.00012194258643617019, ""ridge_fraction"": 0.05}",0.000764349009842,4.06870385632e-05,0.000107918982394,-0.0138887207684,0.51659375,0.53125,0.524502,0.52,405,595,365,635,0.405,0.635
spatial,0.45,detector_first_moment::linear_logistic,Detector first moment · Linear logistic,detector_first_moment,linear_logistic,25,1600,800,2000,"{""C"": 1.0, ""standardized"": true}",0.00365055503789,0.000534210004844,0.000600878964178,0.148100477274,0.5191125,0.53125,0.492181,0.4935,776,224,789,211,0.776,0.211
spatial,0.45,detector_first_moment::rbf_svm,Detector first moment · RBF SVM,detector_first_moment,rbf_svm,25,1600,800,2000,"{""C"": 1.0, ""gamma"": ""scale"", ""standardized"": true}",0.0856229329947,0.05503395095,0.102556711994,0.339625391375,0.5050875,0.51875,0.494477,0.5,760,240,760,240,0.76,0.24
spatial,0.45,detector_first_moment::positive_part_mean_direction,Detector first moment · Positive-part mean direction,detector_first_moment,positive_part_mean_direction,25,1600,800,2000,"{""l1_normalized"": true, ""positive_support_size"": 13, ""simplex_operator_interpretation"": false}",9.84990037978e-05,1.81590439752e-05,2.790405415e-05,0.0724950396825,0.50918125,0.52375,0.489781,0.4925,284,716,299,701,0.284,0.701
spatial,0.45,detector_first_moment::regularized_hotelling,Detector first moment · Regularized Hotelling,detector_first_moment,regularized_hotelling,25,1600,800,2000,"{""absolute_floor"": 1e-08, ""l2_normalized"": true, ""realized_ridge"": 5.72012325282091e-05, ""ridge_fraction"": 0.05}",0.000360122998245,1.56360911205e-05,2.54350015894e-05,0.0478616264572,0.51880625,0.5325,0.492252,0.4945,777,223,788,212,0.777,0.212
spatial,0.45,translation::linear_logistic,Translation statistic / pair lift · Linear logistic,translation,linear_logistic,3,1600,800,2000,"{""C"": 1.0, ""standardized"": true}",0.00214122899342,0.00022667995654,0.000168850994669,0.304715726624,0.7787,0.7025,0.7793595,0.6945,785,215,396,604,0.785,0.604
spatial,0.45,translation::rbf_svm,Translation statistic / pair lift · RBF SVM,translation,rbf_svm,3,1600,800,2000,"{""C"": 1.0, ""gamma"": ""scale"", ""standardized"": true}",0.0254114529816,0.0180712649599,0.0459583199117,0.100358553754,0.77705,0.70875,0.7757115,0.7085,751,249,334,666,0.751,0.666
