scenario,effect,class,split,windows,cycles_per_window,sampling_seed,reused_across_alternatives
spatial,0.35,no_change,train,800,64,571001,True
spatial,0.35,no_change,validation,400,64,571002,True
spatial,0.35,no_change,test,1000,64,571003,True
spatial,0.45,alternative,train,800,64,571451,False
spatial,0.45,alternative,validation,400,64,571452,False
spatial,0.45,alternative,test,1000,64,571453,False
spatial,0.55,alternative,train,800,64,571551,False
spatial,0.55,alternative,validation,400,64,571552,False
spatial,0.55,alternative,test,1000,64,571553,False
spatial,0.65,alternative,train,800,64,571651,False
spatial,0.65,alternative,validation,400,64,571652,False
spatial,0.65,alternative,test,1000,64,571653,False
temporal,0.0,no_change,train,800,128,572001,True
temporal,0.0,no_change,validation,400,128,572002,True
temporal,0.0,no_change,test,1000,128,572003,True
temporal,0.5,alternative,train,800,128,572501,False
temporal,0.5,alternative,validation,400,128,572502,False
temporal,0.5,alternative,test,1000,128,572503,False
temporal,0.75,alternative,train,800,128,572751,False
temporal,0.75,alternative,validation,400,128,572752,False
temporal,0.75,alternative,test,1000,128,572753,False
temporal,0.9,alternative,train,800,128,572901,False
temporal,0.9,alternative,validation,400,128,572902,False
temporal,0.9,alternative,test,1000,128,572903,False
