observable,displacement_index,delta_row,delta_column,start_row,start_column,first_detector,second_detector
ZZ_d0_r0_c0,0,0,1,0,0,0,1
ZZ_d0_r0_c1,0,0,1,0,1,1,2
ZZ_d0_r0_c2,0,0,1,0,2,2,3
ZZ_d0_r0_c3,0,0,1,0,3,3,4
ZZ_d0_r0_c4,0,0,1,0,4,4,0
ZZ_d0_r1_c0,0,0,1,1,0,5,6
ZZ_d0_r1_c1,0,0,1,1,1,6,7
ZZ_d0_r1_c2,0,0,1,1,2,7,8
ZZ_d0_r1_c3,0,0,1,1,3,8,9
ZZ_d0_r1_c4,0,0,1,1,4,9,5
ZZ_d0_r2_c0,0,0,1,2,0,10,11
ZZ_d0_r2_c1,0,0,1,2,1,11,12
ZZ_d0_r2_c2,0,0,1,2,2,12,13
ZZ_d0_r2_c3,0,0,1,2,3,13,14
ZZ_d0_r2_c4,0,0,1,2,4,14,10
ZZ_d0_r3_c0,0,0,1,3,0,15,16
ZZ_d0_r3_c1,0,0,1,3,1,16,17
ZZ_d0_r3_c2,0,0,1,3,2,17,18
ZZ_d0_r3_c3,0,0,1,3,3,18,19
ZZ_d0_r3_c4,0,0,1,3,4,19,15
ZZ_d0_r4_c0,0,0,1,4,0,20,21
ZZ_d0_r4_c1,0,0,1,4,1,21,22
ZZ_d0_r4_c2,0,0,1,4,2,22,23
ZZ_d0_r4_c3,0,0,1,4,3,23,24
ZZ_d0_r4_c4,0,0,1,4,4,24,20
ZZ_d1_r0_c0,1,1,0,0,0,0,5
ZZ_d1_r0_c1,1,1,0,0,1,1,6
ZZ_d1_r0_c2,1,1,0,0,2,2,7
ZZ_d1_r0_c3,1,1,0,0,3,3,8
ZZ_d1_r0_c4,1,1,0,0,4,4,9
ZZ_d1_r1_c0,1,1,0,1,0,5,10
ZZ_d1_r1_c1,1,1,0,1,1,6,11
ZZ_d1_r1_c2,1,1,0,1,2,7,12
ZZ_d1_r1_c3,1,1,0,1,3,8,13
ZZ_d1_r1_c4,1,1,0,1,4,9,14
ZZ_d1_r2_c0,1,1,0,2,0,10,15
ZZ_d1_r2_c1,1,1,0,2,1,11,16
ZZ_d1_r2_c2,1,1,0,2,2,12,17
ZZ_d1_r2_c3,1,1,0,2,3,13,18
ZZ_d1_r2_c4,1,1,0,2,4,14,19
ZZ_d1_r3_c0,1,1,0,3,0,15,20
ZZ_d1_r3_c1,1,1,0,3,1,16,21
ZZ_d1_r3_c2,1,1,0,3,2,17,22
ZZ_d1_r3_c3,1,1,0,3,3,18,23
ZZ_d1_r3_c4,1,1,0,3,4,19,24
ZZ_d1_r4_c0,1,1,0,4,0,20,0
ZZ_d1_r4_c1,1,1,0,4,1,21,1
ZZ_d1_r4_c2,1,1,0,4,2,22,2
ZZ_d1_r4_c3,1,1,0,4,3,23,3
ZZ_d1_r4_c4,1,1,0,4,4,24,4
ZZ_d2_r0_c0,2,0,2,0,0,0,2
ZZ_d2_r0_c1,2,0,2,0,1,1,3
ZZ_d2_r0_c2,2,0,2,0,2,2,4
ZZ_d2_r0_c3,2,0,2,0,3,3,0
ZZ_d2_r0_c4,2,0,2,0,4,4,1
ZZ_d2_r1_c0,2,0,2,1,0,5,7
ZZ_d2_r1_c1,2,0,2,1,1,6,8
ZZ_d2_r1_c2,2,0,2,1,2,7,9
ZZ_d2_r1_c3,2,0,2,1,3,8,5
ZZ_d2_r1_c4,2,0,2,1,4,9,6
ZZ_d2_r2_c0,2,0,2,2,0,10,12
ZZ_d2_r2_c1,2,0,2,2,1,11,13
ZZ_d2_r2_c2,2,0,2,2,2,12,14
ZZ_d2_r2_c3,2,0,2,2,3,13,10
ZZ_d2_r2_c4,2,0,2,2,4,14,11
ZZ_d2_r3_c0,2,0,2,3,0,15,17
ZZ_d2_r3_c1,2,0,2,3,1,16,18
ZZ_d2_r3_c2,2,0,2,3,2,17,19
ZZ_d2_r3_c3,2,0,2,3,3,18,15
ZZ_d2_r3_c4,2,0,2,3,4,19,16
ZZ_d2_r4_c0,2,0,2,4,0,20,22
ZZ_d2_r4_c1,2,0,2,4,1,21,23
ZZ_d2_r4_c2,2,0,2,4,2,22,24
ZZ_d2_r4_c3,2,0,2,4,3,23,20
ZZ_d2_r4_c4,2,0,2,4,4,24,21
ZZ_d3_r0_c0,3,2,0,0,0,0,10
ZZ_d3_r0_c1,3,2,0,0,1,1,11
ZZ_d3_r0_c2,3,2,0,0,2,2,12
ZZ_d3_r0_c3,3,2,0,0,3,3,13
ZZ_d3_r0_c4,3,2,0,0,4,4,14
ZZ_d3_r1_c0,3,2,0,1,0,5,15
ZZ_d3_r1_c1,3,2,0,1,1,6,16
ZZ_d3_r1_c2,3,2,0,1,2,7,17
ZZ_d3_r1_c3,3,2,0,1,3,8,18
ZZ_d3_r1_c4,3,2,0,1,4,9,19
ZZ_d3_r2_c0,3,2,0,2,0,10,20
ZZ_d3_r2_c1,3,2,0,2,1,11,21
ZZ_d3_r2_c2,3,2,0,2,2,12,22
ZZ_d3_r2_c3,3,2,0,2,3,13,23
ZZ_d3_r2_c4,3,2,0,2,4,14,24
ZZ_d3_r3_c0,3,2,0,3,0,15,0
ZZ_d3_r3_c1,3,2,0,3,1,16,1
ZZ_d3_r3_c2,3,2,0,3,2,17,2
ZZ_d3_r3_c3,3,2,0,3,3,18,3
ZZ_d3_r3_c4,3,2,0,3,4,19,4
ZZ_d3_r4_c0,3,2,0,4,0,20,5
ZZ_d3_r4_c1,3,2,0,4,1,21,6
ZZ_d3_r4_c2,3,2,0,4,2,22,7
ZZ_d3_r4_c3,3,2,0,4,3,23,8
ZZ_d3_r4_c4,3,2,0,4,4,24,9
