observable,displacement_index,delta_row,delta_column,start_row,start_column,first_detector,second_detector,state,q,copies,method,exact_expectation,mean_estimate,bias,rmse,theoretical_estimator_standard_error
ZZ_d0_r0_c0,0,0,1,0,0,0,1,null_q035,0.35,64,native_all_z,0.72967688,0.7384033203125,0.008726440312500028,0.08579775033410707,0.08547401385010477
ZZ_d0_r0_c1,0,0,1,0,1,1,2,null_q035,0.35,64,native_all_z,0.72967688,0.740966796875,0.011289916875000028,0.08304853853867265,0.08547401385010477
ZZ_d0_r0_c2,0,0,1,0,2,2,3,null_q035,0.35,64,native_all_z,0.72967688,0.7362060546875,0.006529174687500028,0.0871780209760466,0.08547401385010477
ZZ_d0_r0_c3,0,0,1,0,3,3,4,null_q035,0.35,64,native_all_z,0.72967688,0.7303466796875,0.0006697996875000278,0.08313670369611889,0.08547401385010477
ZZ_d0_r0_c4,0,0,1,0,4,4,0,null_q035,0.35,64,native_all_z,0.72967688,0.7357177734375,0.006040893437500028,0.0786867888513537,0.08547401385010477
ZZ_d0_r1_c0,0,0,1,1,0,5,6,null_q035,0.35,64,native_all_z,0.72967688,0.7252197265625,-0.004457153437499972,0.08298449013531849,0.08547401385010477
ZZ_d0_r1_c1,0,0,1,1,1,6,7,null_q035,0.35,64,native_all_z,0.72967688,0.7379150390625,0.008238159062500028,0.079348472667957,0.08547401385010477
ZZ_d0_r1_c2,0,0,1,1,2,7,8,null_q035,0.35,64,native_all_z,0.72967688,0.73779296875,0.008116088750000028,0.08382991702121857,0.08547401385010477
ZZ_d0_r1_c3,0,0,1,1,3,8,9,null_q035,0.35,64,native_all_z,0.72967688,0.7340087890625,0.004331909062500028,0.08457017921462491,0.08547401385010477
ZZ_d0_r1_c4,0,0,1,1,4,9,5,null_q035,0.35,64,native_all_z,0.72967688,0.7344970703125,0.004820190312500028,0.08043666895386561,0.08547401385010477
ZZ_d0_r2_c0,0,0,1,2,0,10,11,null_q035,0.35,64,native_all_z,0.72967688,0.730712890625,0.0010360106250000278,0.09028352242451637,0.08547401385010477
ZZ_d0_r2_c1,0,0,1,2,1,11,12,null_q035,0.35,64,native_all_z,0.72967688,0.72998046875,0.00030358875000002783,0.08402891398930429,0.08547401385010477
ZZ_d0_r2_c2,0,0,1,2,2,12,13,null_q035,0.35,64,native_all_z,0.72967688,0.731689453125,0.002012573125000028,0.08121739073681754,0.08547401385010477
ZZ_d0_r2_c3,0,0,1,2,3,13,14,null_q035,0.35,64,native_all_z,0.72967688,0.7354736328125,0.005796752812500028,0.08429023715461521,0.08547401385010477
ZZ_d0_r2_c4,0,0,1,2,4,14,10,null_q035,0.35,64,native_all_z,0.72967688,0.7322998046875,0.002622924687500028,0.09339684816710914,0.08547401385010477
ZZ_d0_r3_c0,0,0,1,3,0,15,16,null_q035,0.35,64,native_all_z,0.72967688,0.718017578125,-0.011659301874999972,0.09642772272765054,0.08547401385010477
