copy,syndrome_count,native_z_bitstring,local_pauli_bases,local_pauli_outcomes,declared_zz_observables_sampled,declared_zz_observables
0,3,0000000000001000100000100,ZXZYZXYXXXZZXZZZYZYZYXXZZ,+-++++++--++++++++-+++-++,24,100
1,1,0000000000000001000000000,XYYXYZYZZXXXZXYYYYXYYXYXY,++++-+-++-++++-+-++-----+,4,100
2,2,0000000000000001001000000,XZXYYYZZXZZYZXYZZYZZXXXZY,-+++--++-++-+---+--++++++,17,100
3,3,0000000000001000100001000,XYXXYZXYZZZXYZXXXYYYZXXZY,++--++--+++++++-+--++++++,11,100
4,2,0001000000000000001000000,YYZYZXYYYZXYYXZXZZYZYZXYX,-++-+---++-++++++++++++-+,12,100
5,2,0000000000000000011000000,XYYZXXZZZYYXXYZXZYZXXXZYX,---+-++++---+-+++--++++++,9,100
6,0,0000000000000000000000000,XYZXYYZYZZXZXXZZYZXYYZYYZ,+-+-+-+-++-++-++++-+++-++,13,100
7,0,0000000000000000000000000,YXYZXYXZXZXZYZZZYXXXXZYZZ,+--+--++-+-++++++++-+++++,14,100
8,2,1000000000000100000000000,XYZZYZXZXYXXZYYXXZXXYXXXY,+-++-+-++++-+-+-++++-++--,8,100
9,3,0010000100000100000000000,ZXXZXXZXZZZXYZXYYXXZYYYXZ,+-+++++++++++-++-+-+++--+,12,100
10,4,0000001000000001010001000,ZYYXZYYXYYZXZXXZYXZXZXZZX,+--+++-++-+-+-+-+-+-+-++-,14,100
11,3,0000000101000000000000100,ZYYYZYYXYZXXZXYYXZZYZXZZZ,++-+++----++++-+-++++--++,16,100
12,0,0000000000000000000000000,ZYXXYXYXYZXYYYZYXXYZXZZZX,+--++-+-+++++++++--+-+++-,6,100
13,3,1100010000000000000000000,XYYXXZXXYZXXYYXYZZYZZZXYY,+-+---++-+--+--+++++++-+-,8,100
14,2,0000000000100001000000000,YXYXXXXYYZYXYZZXXZZZXXYYX,--+-++++++++-+++++++----+,8,100
15,1,0000100000000000000000000,ZZYXYYXYYXZYXXZZYZXXXXZXX,+++---+-+-++++++-+++-++-+,7,100
16,2,0000000100001000000000000,ZXYZZYXYXXYXZYXZZZYZYXXZY,+--++--+-------++++++-++-,13,100
17,3,0000000000000000000001101,XZXXXXZZXXXXZZXYYYZZYYXZX,-+-+--+++-+-++--+-++-+-++,8,100
18,3,0001100000000000000001000,ZYXXYXYYZXZYZXYYZXXZXZZYY,+++--+-++-+-++-+++++--++-,6,100
19,1,0000000000000000000000010,XYZXYZXXXYYXZZZXZXZXYXZYZ,--++++---++-+++++++++-+-+,10,100
20,2,0000000000000000000001010,YYYXZXYXXXZYYXXYXYXYZZZXY,-++++-++++++-+------+-+-+,4,100
21,3,0000000000000000001000011,ZXYZXYXXZYXXXYYXZZZZYYZZY,++-+---+++----++++-++++--,15,100
22,1,0000000000000000000000001,YZZXXZZYXYXZZYYZYZZXYYXZY,+++++++-++-++-+++++-+-++-,14,100
23,3,0000000000000100000100001,XYXZXZXYXZXYYYYZXXXZZYXZZ,++-+-+--++-+--++++--++-+-,12,100
24,0,0000000000000000000000000,ZXZZZZYZZYXXXZZYXXXZYZZYX,+-++++-+++-+-++---+++++--,21,100
25,2,0000001000000000100000000,XXXYXZYXZXZXYZYZXXYXYZZXX,+++--+-++-++-++++++++++++,7,100
26,2,0000000000000100001000000,YYZYYXZXXZZYZYXZYXZXXXXXX,--+--++-+++++--+-+-------,5,100
27,1,0000000000010000000000000,XXYYZXXYXZXXYYZXXZXXYYYYX,+-+-++-+-+++-++-+++++--+-,3,100
28,3,0000000000000000110000010,ZYXZYYZZXZXZXZXXXXXZXZXZZ,+-++--++++-+-+-++++++++-+,17,100
29,2,0100000000000000100000000,XZZZZXYZXZYXYXYZYZZYXYXXY,--+++-++-+-+-+++-++------,15,100
30,2,0000000000000001001000000,XXXXYZZYYZXYZZZZYYZYXXXZZ,-+-+-++-+++-+++-+--+-+-++,15,100
31,2,0000000000000000010100000,ZYYYXXXXXYXXXXYZZZYYXXZYY,++--+--++--++++++-----+--,5,100
32,2,0000000000000000100100000,YZZZXXYYZYXZZXYXZZYYXYYZZ,++++-+-++-++++---+-+---++,15,100
33,5,0010000000000000000110110,YZXZYYZYXZYZXYYXXZYZZZXYX,++-+-+++-+++--+--++--+++-,11,100
