family,effect,method,mean_restart_delay_cycles,median_restart_delay_cycles,restart_delay_q1_cycles,restart_delay_q3_cycles,restart_detection_within_64_cycles_fraction,restart_detection_within_128_cycles_fraction,restart_miss_fraction,restart_replicates,restart_horizon_cycles,surveillance_prechange_false_alarm_fraction,surveillance_replicates,surveillance_conditional_mean_delay_cycles,surveillance_conditional_median_delay_cycles,surveillance_miss_fraction_among_survivors,surveillance_survivors,restricted_mean_run_length_cycles,null_censor_fraction,null_replicates,no_change_rmst_at_restart_horizon_cycles,restart_delay_reduction_vs_no_change_cycles,restart_delay_ratio_to_no_change
spatial,0.45,DFR/count exact pushforward,1000.0,1000.0,1000.0,1000.0,0.0,0.0,0.0,256,1024,0.0,256,744.0,744.0,0.0,256,1000.0,0.0,512,1000.0,0.0,1.0
spatial,0.45,exact one-cycle likelihood grid SR,203.046875,174.0,103.75,257.5,0.07421875,0.33984375,0.00390625,256,1024,0.171875,256,153.5943396226415,122.0,0.0047169811320754715,212,1175.6796875,0.009765625,512,735.7265625,532.6796875,0.2759814384165313
spatial,0.45,known-post one-cycle likelihood SR,211.671875,183.0,137.75,250.5,0.00390625,0.19921875,0.0,256,1024,0.12890625,256,138.8878923766816,108.0,0.0,223,1082.552734375,0.001953125,512,740.810546875,529.138671875,0.28573010453604714
spatial,0.45,matched correlation witness,636.6953125,628.0,570.0,694.5,0.0,0.0,0.0,256,1024,0.0,256,424.39453125,415.0,0.0,256,1001.291015625,0.0,512,953.740234375,317.044921875,0.6675772810583332
spatial,0.45,raw symmetry-resolved AOC,802.6953125,865.0,620.0,1024.0,0.0,0.0,0.328125,256,1024,0.00390625,256,634.4235294117647,647.0,0.16862745098039217,255,1025.28125,0.0,512,859.29296875,56.59765625,0.9341346219411854
spatial,0.45,vAOC / same-feature Hotelling,804.66015625,799.5,699.0,916.25,0.0,0.0,0.1015625,256,1024,0.0,256,576.4609375,553.0,0.00390625,256,1009.58984375,0.0,512,940.953125,136.29296875,0.8551543481509772
spatial,0.45,validation-trained linear logistic effect,643.9921875,639.5,578.75,701.25,0.0,0.0,0.0,256,1024,0.0,256,434.86328125,427.5,0.0,256,1002.646484375,0.0,512,955.232421875,311.240234375,0.6741732930671732
spatial,0.55,DFR/count exact pushforward,1000.0,1000.0,1000.0,1000.0,0.0,0.0,0.0,256,1024,0.0,256,744.0,744.0,0.0,256,1000.0,0.0,512,1000.0,0.0,1.0
spatial,0.55,exact one-cycle likelihood grid SR,88.2578125,80.0,55.0,114.0,0.34765625,0.82421875,0.0,256,1024,0.11328125,256,66.7885462555066,57.0,0.0,227,1169.83203125,0.015625,512,725.462890625,637.205078125,0.12165723931649243
spatial,0.55,known-post one-cycle likelihood SR,86.8203125,79.5,56.75,107.0,0.3515625,0.8359375,0.0,256,1024,0.12109375,256,66.70666666666666,59.0,0.0,225,1159.53515625,0.017578125,512,722.607421875,635.787109375,0.12014865869315494
