size,detectors,q0,q1,method,evaluation,repetitions,horizon_cycles,threshold_updates,target_arl_cycles,ridge_frozen_from_size5,mean_restricted_delay_cycles,median_restricted_delay_cycles,miss_fraction,analytic_translation_gap_l1,analytic_translation_gap_l2,analytic_translation_gap_max,translation_feature_seconds_per_10k,exact_llr_seconds_per_10k,translation_feature_peak_tracemalloc_bytes_per_10k,exact_llr_peak_tracemalloc_bytes_per_10k,timing_samples,timing_note,memory_note
5,25,0.35,0.55,DFR/count exact pushforward,restart_at_change,128,1024,1000.0,1000,0.001,1000.0,1000.0,0.0,0.018378879999999986,0.012995830678613806,0.009189439999999993,0.002921421895734966,0.035271316999569535,8167876,20454076,10000,Single-process wall-clock engineering measurement after a 10-sample warm-up; not a complexity theorem.,"Peak Python/NumPy allocation traced by tracemalloc during a separate 10,000-sample call; not total process RSS or a complexity theorem."
5,25,0.35,0.55,raw symmetry-resolved AOC,restart_at_change,128,1024,1000.0,1000,0.001,608.765625,563.5,0.1015625,0.018378879999999986,0.012995830678613806,0.009189439999999993,0.002921421895734966,0.035271316999569535,8167876,20454076,10000,Single-process wall-clock engineering measurement after a 10-sample warm-up; not a complexity theorem.,"Peak Python/NumPy allocation traced by tracemalloc during a separate 10,000-sample call; not total process RSS or a complexity theorem."
5,25,0.35,0.55,vAOC / same-feature Hotelling,restart_at_change,128,1024,1000.0,1000,0.001,542.25,537.5,0.0,0.018378879999999986,0.012995830678613806,0.009189439999999993,0.002921421895734966,0.035271316999569535,8167876,20454076,10000,Single-process wall-clock engineering measurement after a 10-sample warm-up; not a complexity theorem.,"Peak Python/NumPy allocation traced by tracemalloc during a separate 10,000-sample call; not total process RSS or a complexity theorem."
5,25,0.35,0.55,matched correlation witness,restart_at_change,128,1024,1000.0,1000,0.001,462.375,464.0,0.0,0.018378879999999986,0.012995830678613806,0.009189439999999993,0.002921421895734966,0.035271316999569535,8167876,20454076,10000,Single-process wall-clock engineering measurement after a 10-sample warm-up; not a complexity theorem.,"Peak Python/NumPy allocation traced by tracemalloc during a separate 10,000-sample call; not total process RSS or a complexity theorem."
5,25,0.35,0.55,known-post one-cycle likelihood SR,restart_at_change,128,1024,1000.0,1000,0.001,85.015625,75.0,0.0,0.018378879999999986,0.012995830678613806,0.009189439999999993,0.002921421895734966,0.035271316999569535,8167876,20454076,10000,Single-process wall-clock engineering measurement after a 10-sample warm-up; not a complexity theorem.,"Peak Python/NumPy allocation traced by tracemalloc during a separate 10,000-sample call; not total process RSS or a complexity theorem."
7,49,0.35,0.55,DFR/count exact pushforward,restart_at_change,128,1024,1000.0,1000,0.001,1000.0,1000.0,0.0,0.009376979591836587,0.006630525856435515,0.004688489795918294,0.015791009995155036,0.16244941600598395,15847876,39654812,10000,Single-process wall-clock engineering measurement after a 10-sample warm-up; not a complexity theorem.,"Peak Python/NumPy allocation traced by tracemalloc during a separate 10,000-sample call; not total process RSS or a complexity theorem."
7,49,0.35,0.55,raw symmetry-resolved AOC,restart_at_change,128,1024,1000.0,1000,0.001,719.5390625,695.5,0.1328125,0.009376979591836587,0.006630525856435515,0.004688489795918294,0.015791009995155036,0.16244941600598395,15847876,39654812,10000,Single-process wall-clock engineering measurement after a 10-sample warm-up; not a complexity theorem.,"Peak Python/NumPy allocation traced by tracemalloc during a separate 10,000-sample call; not total process RSS or a complexity theorem."
7,49,0.35,0.55,vAOC / same-feature Hotelling,restart_at_change,128,1024,1000.0,1000,0.001,744.0703125,752.0,0.0078125,0.009376979591836587,0.006630525856435515,0.004688489795918294,0.015791009995155036,0.16244941600598395,15847876,39654812,10000,Single-process wall-clock engineering measurement after a 10-sample warm-up; not a complexity theorem.,"Peak Python/NumPy allocation traced by tracemalloc during a separate 10,000-sample call; not total process RSS or a complexity theorem."
7,49,0.35,0.55,matched correlation witness,restart_at_change,128,1024,1000.0,1000,0.001,636.71875,639.0,0.0,0.009376979591836587,0.006630525856435515,0.004688489795918294,0.015791009995155036,0.16244941600598395,15847876,39654812,10000,Single-process wall-clock engineering measurement after a 10-sample warm-up; not a complexity theorem.,"Peak Python/NumPy allocation traced by tracemalloc during a separate 10,000-sample call; not total process RSS or a complexity theorem."
7,49,0.35,0.55,known-post one-cycle likelihood SR,restart_at_change,128,1024,1000.0,1000,0.001,85.5078125,77.5,0.0,0.009376979591836587,0.006630525856435515,0.004688489795918294,0.015791009995155036,0.16244941600598395,15847876,39654812,10000,Single-process wall-clock engineering measurement after a 10-sample warm-up; not a complexity theorem.,"Peak Python/NumPy allocation traced by tracemalloc during a separate 10,000-sample call; not total process RSS or a complexity theorem."
