family,effect,replicate,seed,stream_type,evaluation,method,alarm_time,false_alarm,conditional_eligible,post_change_detected,censored,run_length_units,run_length_cycles,restricted_delay_units,time_unit_cycles,restricted_delay_cycles,restriction_horizon_units,restriction_horizon_cycles,threshold
spatial,0.55,0,60000000,no_change,null_arl,DFR/count exact pushforward,200,True,True,False,False,200,200,,1,,1000,1000,200.0
spatial,0.55,0,60000000,no_change,null_arl,raw symmetry-resolved AOC,156,True,True,False,False,156,156,,1,,1000,1000,200.0
spatial,0.55,0,60000000,no_change,null_arl,vAOC / same-feature Hotelling,203,True,True,False,False,203,203,,1,,1000,1000,200.0
spatial,0.55,0,60000000,no_change,null_arl,matched correlation witness,205,True,True,False,False,205,205,,1,,1000,1000,200.0
spatial,0.55,0,60000000,no_change,null_arl,exact one-cycle likelihood grid SR,258,True,True,False,False,258,258,,1,,1000,1000,200.0
spatial,0.55,0,60000000,no_change,null_arl,known-post one-cycle likelihood SR,258,True,True,False,False,258,258,,1,,1000,1000,200.0
spatial,0.55,0,60000000,no_change,null_arl,validation-trained linear logistic effect,204,True,True,False,False,204,204,,1,,1000,1000,200.0
spatial,0.55,1,60000001,no_change,null_arl,DFR/count exact pushforward,200,True,True,False,False,200,200,,1,,1000,1000,200.0
spatial,0.55,1,60000001,no_change,null_arl,raw symmetry-resolved AOC,154,True,True,False,False,154,154,,1,,1000,1000,200.0
spatial,0.55,1,60000001,no_change,null_arl,vAOC / same-feature Hotelling,166,True,True,False,False,166,166,,1,,1000,1000,200.0
spatial,0.55,1,60000001,no_change,null_arl,matched correlation witness,202,True,True,False,False,202,202,,1,,1000,1000,200.0
spatial,0.55,1,60000001,no_change,null_arl,exact one-cycle likelihood grid SR,52,True,True,False,False,52,52,,1,,1000,1000,200.0
spatial,0.55,1,60000001,no_change,null_arl,known-post one-cycle likelihood SR,52,True,True,False,False,52,52,,1,,1000,1000,200.0
spatial,0.55,1,60000001,no_change,null_arl,validation-trained linear logistic effect,202,True,True,False,False,202,202,,1,,1000,1000,200.0
spatial,0.55,2,60000002,no_change,null_arl,DFR/count exact pushforward,200,True,True,False,False,200,200,,1,,1000,1000,200.0
spatial,0.55,2,60000002,no_change,null_arl,raw symmetry-resolved AOC,218,True,True,False,False,218,218,,1,,1000,1000,200.0
spatial,0.55,2,60000002,no_change,null_arl,vAOC / same-feature Hotelling,215,True,True,False,False,215,215,,1,,1000,1000,200.0
spatial,0.55,2,60000002,no_change,null_arl,matched correlation witness,205,True,True,False,False,205,205,,1,,1000,1000,200.0
spatial,0.55,2,60000002,no_change,null_arl,exact one-cycle likelihood grid SR,237,True,True,False,False,237,237,,1,,1000,1000,200.0
spatial,0.55,2,60000002,no_change,null_arl,known-post one-cycle likelihood SR,237,True,True,False,False,237,237,,1,,1000,1000,200.0
spatial,0.55,2,60000002,no_change,null_arl,validation-trained linear logistic effect,199,True,True,False,False,199,199,,1,,1000,1000,200.0
spatial,0.55,3,60000003,no_change,null_arl,DFR/count exact pushforward,200,True,True,False,False,200,200,,1,,1000,1000,200.0
spatial,0.55,3,60000003,no_change,null_arl,raw symmetry-resolved AOC,125,True,True,False,False,125,125,,1,,1000,1000,200.0
spatial,0.55,3,60000003,no_change,null_arl,vAOC / same-feature Hotelling,194,True,True,False,False,194,194,,1,,1000,1000,200.0
spatial,0.55,3,60000003,no_change,null_arl,matched correlation witness,221,True,True,False,False,221,221,,1,,1000,1000,200.0
spatial,0.55,3,60000003,no_change,null_arl,exact one-cycle likelihood grid SR,243,True,True,False,False,243,243,,1,,1000,1000,200.0
spatial,0.55,3,60000003,no_change,null_arl,known-post one-cycle likelihood SR,243,True,True,False,False,243,243,,1,,1000,1000,200.0
spatial,0.55,3,60000003,no_change,null_arl,validation-trained linear logistic effect,222,True,True,False,False,222,222,,1,,1000,1000,200.0
spatial,0.55,4,60000004,no_change,null_arl,DFR/count exact pushforward,200,True,True,False,False,200,200,,1,,1000,1000,200.0
